,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
0,OYO 11511 Hotel Embassy Grand,"Near EQUINOX Business Park, Kurla West, Mumbai",₹1378,₹3220,57% off, Hair Dryer  Free Wifi  Card Payment  + 13 more,,Mumbai
1,Collection O 50279 Golden Tulipz Boutique,"Near Kalpana Cinema Hall, Kurla West, Mumbai",₹1358,₹2950,53% off, Reception  Free Wifi  Refrigerator  + 14 more,3.8 (594 Ratings)·Good,Mumbai
2,Capital O 12063 Hotel Pearls BKC Inn,"Near Bandra Kurla Complex, Bandra East, Mumbai",₹1725,₹3285,47% off, Dress Hanger  Dress Hanger  AC  + 32 more,4.1 (952 Ratings)·Very Good,Mumbai
3,OYO 8544 Hotel Bently,"Near Sakinaka Metro Station, Andheri, Mumbai",₹1260,₹2399,47% off, Free Wifi  Geyser  CCTV Cameras  + 7 more,,Mumbai
4,OYO 9957 Hotel Terminus Square,"Near Tilak nagar Railway Station, Chembur, Mumbai",₹1557,₹4201,62% off, Living Room  Cot  Washing Machine  + 43 more,,Mumbai
5,OYO 22039 Hotel Bkc Grand,"Near Passport seva kendra, Bandra East, Mumbai",₹2192,₹4175,47% off, Free Wifi  Card Payment  24/7 Checkin  + 11 more,3.8 (1437 Ratings)·Good,Mumbai
6,OYO 7407 Hotel Blue Sea,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",₹1216,₹3078,60% off, Free Wifi  Geyser  CCTV Cameras  + 7 more,4.0 (4584 Ratings)·Very Good,Mumbai
7,OYO 321 Hotel Icon,"Near Asalpha Metro Station, Asalpha, Mumbai",₹1014,₹2553,60% off, Reception  Free Wifi  Geyser  + 9 more,3.8 (1613 Ratings)·Good,Mumbai
8,OYO 5171 Hotel Palace Residency,"Near LBS Marg, Kurla West, Mumbai",₹1344,₹2868,53% off, Free Wifi  Geyser  CCTV Cameras  + 6 more,3.8 (557 Ratings)·Good,Mumbai
9,OYO 69614 Hotel Diamond,"Near BKC palace inn, MMRDA Area, Mumbai",₹1938,₹3691,47% off, Reception  Free Wifi  CCTV Cameras  + 5 more,3.7 (567 Ratings)·Good,Mumbai
10,OYO 3769 Blue Pearl Residency,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",₹1351,₹2572,47% off, Free Wifi  Card Payment  Microwave  + 13 more,,Mumbai
11,OYO 65661 Hotel Emerald Inn ,"Near Sakinaka metro station, Asalfa, Mumbai",₹1216,₹2990,59% off, AC  TV ,4.5 (1447 Ratings)·Excellent,Mumbai
12,OYO 76846 Hotel Manas Residency,"Chembur East, Mumbai",₹1359,₹3343,59% off, Reception  Free Wifi  CCTV Cameras  + 6 more,4.0 (1506 Ratings)·Very Good,Mumbai
13,SPOT ON 41424 Hotel Sunny,"Sai Baba Nagar, Chembur, Mumbai",₹1465,₹3144,53% off, AC  Reception  TV  + 8 more,,Mumbai
