,index,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,City_Name,Rating,Reviews,Location,AC_Availability,Wifi_Availability
0,194,Capital O 80202 Hotel Saineel,"India, Mumbai",1450.0,2998.0,51.0, Reception  CCTV Cameras  Daily Housekeeping  + 8 more,Mumbai,5.0,Fabulous,India,No,No
1,33,OYO 10363 Sri Balaji Guest House & Restaurent,"Near Bata, Wilson Garden, Bangalore",1014.0,2096.0,51.0, Doctor on Call  Reception  Ticket Tour Assistance  + 23 more,Bangalore,4.9,Fabulous, Wilson Garden,No,No
2,560,OYO HOME 79924 PRAMOD PRIME HOMES,"nagole, Hyderabad",1014.0,2131.0,52.0, Free Wifi  TV  AC ,Hyderabad,4.9,Fabulous,nagole,Yes,Yes
3,42,OYO 38397 Kucheria Vatika,"Near Jawahar Nagar Colony, Ramgopalpet, Hyderabad",1351.0,3828.0,64.0, Parking Facility  Reception  Free Wifi  + 13 more,Hyderabad,4.9,Fabulous, Ramgopalpet,No,Yes
4,150,OYO BLR2467 Urban Inn,"India, Bangalore",1234.0,2570.0,51.0, Hair Dryer  Reception  Free Wifi  + 11 more,Bangalore,4.8,Excellent,India,No,Yes
5,170,OYO 30744 The  Gate,"Near Life Style, Begumpet, Hyderabad",1363.0,3563.0,61.0, Reception  Power backup  Security  + 11 more,Hyderabad,4.8,Excellent, Begumpet,No,No
6,46,OYO 70822 Pnd Complex,"Balapur X road, Hyderabad",1216.0,3341.0,63.0, Elevator  Reception  Free Wifi  + 9 more,Hyderabad,4.8,Excellent,Balapur X road,No,Yes
7,550,OYO Townhouse 007 Indiranagar,"12TH MAIN RD,HAL 2ND STAGE ,INDIRANAGAR,BANGALORE",1587.0,3864.0,58.0, Living Room  Bedside Table / Desk  Refrigerator  + 31 more,Bangalore,4.8,Excellent,INDIRANAGAR,No,No
8,263,Capital O 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",1298.0,2908.0,55.0, Parking Facility  Reception  Free Wifi  + 14 more,Bangalore,4.8,Excellent, Mathikere Extension,No,Yes
9,26,OYO 81248 Blooms Residency,"India, Bangalore",1216.0,2352.0,48.0, Doctor on Call  Hair Dryer  Parking Facility  + 18 more,Bangalore,4.8,Excellent,India,No,No
10,374,OYO 3630 Hotel Ajwa,"Near Asalpha Metro Station, Mumbai",1445.0,3130.0,53.0, Private Entrance  Hair Dryer  Reception  + 18 more,Mumbai,4.8,Excellent,Near Asalpha Metro Station,No,No
11,297,OYO Townhouse RCC Majestic 397 LB Nagar,"Champapet, Hyderabad",1014.0,2466.0,58.0, Parking Facility  Free Wifi  AC  + 5 more,Hyderabad,4.8,Excellent,Champapet,Yes,Yes
12,117,CAPITAL O 15141 Townvilla Guest House,"Near Indo US Super Speciality Hospital, Ameerpet, Hyderabad",1485.0,3505.0,57.0, Free Wifi  Geyser  Power backup  + 6 more,Hyderabad,4.7,Excellent, Ameerpet,No,Yes
13,421,OYO 66785 Hotel Oyster Suites,"Andheri West, Mumbai",1453.0,4048.0,64.0, Doctor on Call  Reception  Ticket Tour Assistance  + 11 more,Mumbai,4.7,Excellent,Andheri West,No,No
14,273,OYO 79869 Grand Comfort,"Bangalore Urban, Bangalore",1381.0,2629.0,47.0, Free Wifi  TV  AC ,Bangalore,4.7,Excellent,Bangalore Urban,Yes,Yes
15,206,SPOT ON 47801 S.G Comforts,"Near State Bank Of India, M S K Nagar, Bangalore",1014.0,2061.0,50.0, Twin Single Bed  Reception  Power backup  + 23 more,Bangalore,4.7,Excellent, M S K Nagar,No,No
16,203,CAPITAL O 23461 Champion Lotus,"Near IIFT, Vijayanagar, Bangalore",1226.0,2433.0,49.0, Reception  Power backup  Security  + 22 more,Bangalore,4.7,Excellent, Vijayanagar,No,No
17,343,OYO 9936 Elite Inn,"Near Chitta Reddy colony, Tadbund, Hyderabad",1405.0,2905.0,51.0, Elevator  Free Wifi  Geyser  + 7 more,Hyderabad,4.6,Excellent, Tadbund,No,Yes
18,274,OYO 2318 Hotel Tiara,"Lexington Towers, 63 St.Johns Woods Apts & Oracle, Tavarekere Main Rd",1014.0,2039.0,50.0, Parking Facility  Reception  Free Wifi  + 17 more,Bangalore,4.6,Excellent, 63 St.Johns Woods Apts & Oracle,No,Yes
19,441,Capital O 12543 3 Square,"Next to Cafe Coffee Day, HBR Layout, Bangalore",1377.0,2622.0,47.0, Elevator  Free Wifi  Geyser  + 6 more,Bangalore,4.6,Excellent, HBR Layout,No,Yes
20,589,Collection O 12684 Compact Green View,"Near Ejipura Bus stand, Ashwini Layout, Bangalore",1255.0,2622.0,52.0, Parking Facility  Free Wifi  CCTV Cameras  + 6 more,Bangalore,4.6,Excellent, Ashwini Layout,No,Yes
21,455,OYO 4691 Sai Comforts,"Mathikere, Bangalore",1386.0,3410.0,59.0, Elevator  Free Wifi  Geyser  + 8 more,Bangalore,4.6,Excellent,Mathikere,No,Yes
22,447,OYO 78266 Collection O Sathyajyothi Comforts,"Girinagar, Bangalore",1014.0,2286.0,55.0, Reception  Free Wifi  Power backup  + 12 more,Bangalore,4.5,Excellent,Girinagar,No,Yes
23,510,SPOT ON 75492 The Royal Comfort,"Near Priyadarshini Restaurant, Yeswanthpur, Bangalore",1406.0,2678.0,47.0, TV  AC  AC  + 1 more,Bangalore,4.5,Excellent, Yeswanthpur,Yes,No
24,110,OYO 13300 Hotel New Platinum,"Saleemnagar Colony, Malakpet, Hyderabad",1014.0,2887.0,64.0, Elevator  Free Wifi  Geyser  + 8 more,Hyderabad,4.5,Excellent, Malakpet,No,Yes
25,109,SPOT ON 48871 AY Hotel,"Centrally Located, Near HDFC Bank ATM, Charminar, Hyderabad",907.0,1883.0,51.0, TV  Reception  Free Wifi  + 9 more,Hyderabad,4.5,Excellent, Charminar,No,Yes
26,101,SPOT ON 43890 Kaveri Lodge,"Near Kamineni Hospital, L.B.Nagar, Hyderabad",955.0,1819.0,47.0, Parking Facility  Reception  Daily Housekeeping  + 7 more,Hyderabad,4.5,Excellent, L.B.Nagar,No,No
27,11,OYO 65661 Hotel Emerald Inn ,"Near Sakinaka metro station, Asalfa, Mumbai",1216.0,2990.0,59.0, AC  TV ,Mumbai,4.5,Excellent, Asalfa,Yes,No
28,89,OYO Townhouse 387 Grand Vista Koramangala ,"Karnataka 560095, Bangalore",1423.0,3069.0,53.0, Parking Facility  Reception  Free Wifi  + 14 more,Bangalore,4.5,Excellent,Karnataka 560095,No,Yes
29,552,OYO 79223 Exotic Stay BSK 3rd Stage,"South, Bangalore",1423.0,2711.0,47.0, Elevator  Private Entrance  Free Wifi  + 6 more,Bangalore,4.5,Excellent,South,No,Yes
30,208,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",1014.0,2156.0,52.0, Private Entrance  Reception  Free Wifi  + 14 more,Bangalore,4.5,Excellent, BTM Layout,No,Yes
